"DATE","TIME","MEMBER","LOG RECORDS CREATED","LOG CI CREATED","LOG WRITE I/O REQ (LOG1&2)","LOG CI WRITTEN (LOG1&2)","SYSTEM EVENT CHECKPOINT"
19/04/25,17:39,"DBH1",682718,150373,102535,339315,1
19/04/25,17:40,"DBH1",637724,122958,95349,282283,2
19/04/25,17:41,"DBH1",651166,143648,100642,326726,1
19/04/25,17:42,"DBH1",676397,149980,103064,339616,1
19/04/25,17:43,"DBH1",678313,148541,99462,334072,2
19/04/25,17:44,"DBH1",650860,145170,101430,330250,1
19/04/25,17:45,"DBH1",621697,120183,99352,278604,1
19/04/25,17:46,"DBH1",666833,146799,100890,331390,2
19/04/25,17:47,"DBH1",614446,117752,99646,274296,1
19/04/25,17:48,"DBH1",658415,126110,101030,289758,1
19/04/25,17:39,"DBH2",683138,133249,99458,303316,1
19/04/25,17:40,"DBH2",721720,159457,96688,353112,2
19/04/25,17:41,"DBH2",709872,138519,100912,314024,1
19/04/25,17:42,"DBH2",687320,133032,100124,303474,1
19/04/25,17:43,"DBH2",681173,133604,97760,303180,2
19/04/25,17:44,"DBH2",712225,137732,101334,311108,1
19/04/25,17:45,"DBH2",741438,162217,100056,359014,1
19/04/25,17:46,"DBH2",696712,135501,98722,306298,2
19/04/25,17:47,"DBH2",749823,164422,102134,364192,1
19/04/25,17:48,"DBH2",705084,155950,101532,348198,2
