"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize","node.name","notde.type","msgs","tot.elapse","max.elapse","min.elapse","tot.cp","max.cp","min.cp"
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"BuildOutputMessage","ComputeNode",4296,24.068448,0.066500,0.000890,6.613011,0.008564,0.000721
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"InsertInputMsgESBQTable","ComputeNode",4296,16.885474,0.030151,0.001452,1.930005,0.003154,0.000207
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"IsRedelivered","FilterNode",4296,0.052158,0.000172,0.000006,0.043078,0.000035,0.000005
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"MessageLogWrite","ComputeNode",4296,4.886137,0.034493,0.000142,1.102850,0.001619,0.000105
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"ParseInputMessage","ComputeNode",4296,2.580846,0.009373,0.000205,1.908514,0.002608,0.000202
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"QA.CMDOLTP.ESB.REQ","MQInputNode",4296,24.080585,0.012775,0.003034,1.362812,0.002932,0.000139
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"QA.CMDOLTPxx.PRD.REQ","MQOutputNode",4296,1.113135,0.000739,0.000164,0.777281,0.000569,0.000107
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"ServiceStatusCheck","JavaComputeNode",4296,0.158797,0.001429,0.000018,0.133685,0.000962,0.000018
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412,"Sleep_CMD_OLTP_REQ#01","JavaComputeNode",4296,0.093723,0.000076,0.000010,0.081304,0.000056,0.000007
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:39,2019-04-25,17:40,4278,78.345600,0.060753,0.008133,17.914006,0.018280,0.002515,0.941460,1836.700247,8261055,2073,1867,"BuildOutputMessage","ComputeNode",4278,3.686889,0.008792,0.000286,2.375258,0.003451,0.000237
