"DATE","TIME","QMGR","CIs_Created","Write_Reqs","CI_Writes","Checkpoints"
19/04/25,17:39,"MQH1",65876,85592,192550,0
19/04/25,17:39,"MQHR",85,472,474,0
19/04/25,17:40,"MQH1",66009,86210,193348,0
19/04/25,17:40,"MQHR",87,486,486,0
19/04/25,17:41,"MQH1",41736,84574,143766,0
19/04/25,17:41,"MQHR",85,476,476,0
19/04/25,17:42,"MQH1",66068,87602,194008,0
19/04/25,17:42,"MQHR",84,472,472,0
19/04/25,17:43,"MQH1",65846,87292,193540,0
19/04/25,17:43,"MQHR",84,474,474,0
19/04/25,17:44,"MQH1",65721,85502,191834,0
19/04/25,17:44,"MQHR",85,474,474,0
19/04/25,17:45,"MQH1",65851,88026,194216,0
19/04/25,17:45,"MQHR",85,482,482,0
19/04/25,17:46,"MQH1",41899,89504,147920,0
19/04/25,17:46,"MQHR",85,476,476,0
19/04/25,17:47,"MQH1",66140,88024,194736,0
19/04/25,17:47,"MQHR",84,476,476,0
19/04/25,17:48,"MQH1",42175,88612,147728,0
19/04/25,17:48,"MQHR",86,484,484,0
19/04/25,17:39,"MQH2",40544,86202,143442,0
19/04/25,17:40,"MQH2",40416,86582,143420,0
19/04/25,17:41,"MQH2",64701,84256,189294,1
19/04/25,17:42,"MQH2",40135,85738,142266,0
19/04/25,17:43,"MQH2",40676,87300,144586,0
19/04/25,17:44,"MQH2",40870,85706,143330,0
19/04/25,17:45,"MQH2",40598,86886,143964,1
19/04/25,17:46,"MQH2",64400,85382,189980,0
19/04/25,17:47,"MQH2",40428,85458,142804,0
19/04/25,17:48,"MQH2",64312,85932,190470,0
