"DATE","TIME","SYS","QMGR","JOBNAME","USERID","QUEUE","TYPE","COUNT","SizeMax","SizeMin","SizeTot","ToQMax","ToQMin","ToQAvg","ToQTot","StrName"
2019115,17:39:00,"A1","MQHR","MQHRCHIN","WMQCHIN","MQTD.1","GET",60,480,480,28800,0.001697,0.000172,0.000357,0.021420,APLEX01
2019115,17:39:00,"A1","MQHR","MQHRCHIN","WMQCHIN","QL.LOOPBACK","PUT",60,52,52,3120,,,,,APLEX01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.PRD.REQ","PUT",128,3818,3818,488704,,,,,APLEX01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.EG701.ESB.REQ","GET",128,52,52,6656,0.024853,0.000128,0.001326,0.169728,APLEX01
2019115,17:39:00,"A1","MQH1","MQH1CHIN","WMQCHIN","QL.ANGEL.APL.EXBK0001.ESB.OWD","GET",10,326143,326143,3261430,10.286940,4.627832,7.697302,76.973020,APLEX01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP02.PRD.RSP","PUT",51,1505,1503,76656,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP02.PRD.REQ","GET",51,1195,1195,60945,0.253984,0.013682,0.099117,5.054967,APLIR01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.ANGEL.APL.OLTP.ESB.RSP","PUT",115,4300,4298,494273,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.ANGEL.APL.OLTP01.PRD.RSP","GET",115,1505,1503,172848,0.003745,0.000351,0.000831,0.095565,APLIR01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP03.PRD.RSP","PUT",11,1505,1503,16535,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP03.PRD.REQ","GET",11,1195,1195,13145,0.142764,0.029515,0.070752,0.778272,APLIR01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.PRD.REQ","PUT",128,3818,3818,488704,,,,,APLEX01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.EG701.ESB.REQ","GET",128,52,52,6656,0.018116,0.000111,0.001045,0.133760,APLEX01
2019115,17:39:00,"A1","MQH1","MQH1CHIN","WMQCHIN","QL.ANGEL.APL.OLTP.ESB.REQ","PUT",60,4048,4048,242880,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","MQH1CHIN","WMQCHIN","QL.ANGEL.APL.OLTP.ESB.REQ","PUT",60,4048,4048,242880,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.PRD.REQ","PUT",130,3818,3818,496340,,,,,APLEX01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.EG701.ESB.REQ","GET",130,52,52,6760,0.045969,0.000133,0.001285,0.167050,APLEX01
2019115,17:39:00,"A1","MQH1","MQH1CHIN","WMQCHIN","QL.ANGEL.APL.EXBK0001.ESB.OWD","GET",10,326143,326143,3261430,10.333483,4.450701,7.653187,76.531870,APLEX01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.EX06.PRD.OWD","PUT",295,1731,1729,510425,,,,,APLEX01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP06.PRD.RSP","PUT",59,1709,1707,100787,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","ANS111S","ANSRU1","QL.ANGEL.APL.OLTP06.PRD.REQ","GET",59,1401,1401,82659,0.242229,0.014665,0.110386,6.512774,APLIR01
2019115,17:39:00,"A1","MQH1","MQH1CHIN","WMQCHIN","QL.ANGEL.APL.OLTP.ESB.REQ","PUT",60,4048,4048,242880,,,,,APLIR01
2019115,17:39:00,"A1","MQH1","MBMQH1","MBMQH1","QL.SQLRATE.PRD.REQ","PUT",129,3818,3818,492522,,,,,APLEX01
