1                                               R M F   S U M M A R Y   R E P O R T                                                  
                                                                                                                            PAGE  001
             z/OS  V2R2               SYSTEM ID A1               START 04/25/2019-17.39.00  INTERVAL 00.00.59                        
                                      RPT VERSION V2R2 RMF       END   04/25/2019-17.49.00  CYCLE 1.000 SECONDS                      
0                                                                                                                                    
 NUMBER OF INTERVALS 10            TOTAL LENGTH OF INTERVALS 00.09.55                                                                
-DATE   TIME     INT   CPU   DASD  DASD   JOB   JOB   TSO   TSO   STC   STC  ASCH  ASCH  OMVS  OMVS SWAP DEMAND                      
 MM/DD HH.MM.SS MM.SS  BUSY  RESP  RATE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE RATE PAGING                      
004/25 17.39.00 01.00  43.4   0.6  4371     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.40.00 00.59  43.5   0.7  4568     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.41.00 01.00  43.4   0.6  4453     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.42.00 00.59  43.7   0.6  4411     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
004/25 17.43.00 01.00  44.2   0.7  4792     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.44.00 01.00  42.6   0.6  4381     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.45.00 00.59  42.4   0.6  4324     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.46.00 00.59  43.7   0.7  4879     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
004/25 17.47.00 00.59  42.5   0.6  4314     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
 04/25 17.48.00 01.00  43.1   0.6  4293     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
-TOTAL/AVERAGE         43.3   0.6  4479     2     2     0     0   439   439     0     0     3     3 0.00   0.00                      
