1                                               R M F   S U M M A R Y   R E P O R T                                                  
                                                                                                                            PAGE  001
             z/OS  V2R2               SYSTEM ID F1               START 04/25/2019-17.39.00  INTERVAL 00.00.59                        
                                      RPT VERSION V2R2 RMF       END   04/25/2019-17.49.00  CYCLE 1.000 SECONDS                      
0                                                                                                                                    
 NUMBER OF INTERVALS 10            TOTAL LENGTH OF INTERVALS 00.09.54                                                                
-DATE   TIME     INT   CPU   DASD  DASD   JOB   JOB   TSO   TSO   STC   STC  ASCH  ASCH  OMVS  OMVS SWAP DEMAND                      
 MM/DD HH.MM.SS MM.SS  BUSY  RESP  RATE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE RATE PAGING                      
004/25 17.39.00 01.00   3.5   1.7 656.8     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.40.00 00.59   2.7   1.8 571.6     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.41.00 00.59   0.8   1.1  25.7     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.42.00 01.00   0.7   0.5  10.6     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
004/25 17.43.00 01.00   0.5   0.6   9.7     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.44.00 00.59   0.9   0.4  21.8     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.45.00 00.59   0.5   0.5   9.4     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.46.00 00.59   0.6   0.6  10.1     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
004/25 17.47.00 00.59   0.7   0.5  10.6     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
 04/25 17.48.00 01.00   0.5   0.6   9.2     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
-TOTAL/AVERAGE          1.1   1.6 133.5     2     2     3     3   103   103     0     0     4     4 0.00   0.00                      
