1                                               R M F   S U M M A R Y   R E P O R T                                                  
                                                                                                                            PAGE  001
             z/OS  V2R2               SYSTEM ID F2               START 04/25/2019-17.39.00  INTERVAL 00.00.59                        
                                      RPT VERSION V2R2 RMF       END   04/25/2019-17.49.00  CYCLE 1.000 SECONDS                      
0                                                                                                                                    
 NUMBER OF INTERVALS 10            TOTAL LENGTH OF INTERVALS 00.09.56                                                                
-DATE   TIME     INT   CPU   DASD  DASD   JOB   JOB   TSO   TSO   STC   STC  ASCH  ASCH  OMVS  OMVS SWAP DEMAND                      
 MM/DD HH.MM.SS MM.SS  BUSY  RESP  RATE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE RATE PAGING                      
004/25 17.39.00 01.00   0.8   0.5   9.5     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.40.00 01.00   0.7   0.5   9.6     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.41.00 00.59   1.0   0.5  12.9     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.42.00 01.00   1.0   0.4  19.7     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
004/25 17.43.00 01.00   0.7   0.5   8.9     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.44.00 00.59   0.8   0.4   9.4     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.45.00 01.00   0.6   0.5   8.9     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.46.00 00.59   0.7   0.5   9.0     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
004/25 17.47.00 01.00   1.0   0.4  19.7     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
 04/25 17.48.00 00.59   0.6   0.5   7.9     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
-TOTAL/AVERAGE          0.8   0.4  11.5     0     0     0     0   104   104     0     0     2     2 0.00   0.00                      
