"DATE","TIME","INT","CF","STRUCT","TYPE","STATUS","SYS","REQ_SYNC","REQ_ASYNC","REQ_CHNGD","SRV_SYNC","SRV_ASYNC","STD_SYNC","STD_ASYNC","DLY_REQ","DLY_REQ%","DTIME/DLY","DTIME/ALL","REQ_TOTAL","CONT","FALSE_CONT"
19/04/25,17:39:00,600,"CEC1CF7","DSNH_SCA","LIST","ACTIVE","A1",4957,1226,1,14.1,47.9,20.2,28.6,1,0.0%,9.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","DSNH_SCA","LIST","ACTIVE","A2",6177,623,0,15.5,44.4,19.9,29.4,0,0.0%,0.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","DSNH_SCA","LIST","ACTIVE","F1",0,0,0,0.0,0.0,0.0,0.0,0,0.0%,0.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","DSNH_SCA","LIST","ACTIVE","F2",0,0,0,0.0,0.0,0.0,0.0,0,0.0%,0.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","DSNH_SCA","LIST","ACTIVE","TOTAL",11000,1849,1,14.9,46.7,20.0,28.9,1,0.0%,9.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","IXC_LIST1","LIST","ACTIVE","A1",0,3499000,0,0.0,28.4,0.0,25.0,2234,0.1%,44.5,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","IXC_LIST1","LIST","ACTIVE","A2",0,3416000,0,0.0,28.9,0.0,24.1,437,0.0%,59.5,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","IXC_LIST1","LIST","ACTIVE","F1",0,5497,0,0.0,34.7,0.0,36.8,0,0.0%,0.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","IXC_LIST1","LIST","ACTIVE","F2",0,3457,0,0.0,35.9,0.0,31.8,0,0.0%,0.0,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","IXC_LIST1","LIST","ACTIVE","TOTAL",0,6923000,0,0.0,28.7,0.0,24.6,2671,0.0%,46.9,0.0,,,
19/04/25,17:39:00,600,"CEC1CF7","LOGR_OPERLOG","LIST","ACTIVE SECONDARY","A1",1,111,0,43.0,46.4,0.0,21.9,0,0.0%,0.0,0.0,,,
