"DATE","TIME","SYSID","SG","DNUM","DTYPE","CYL","VOLSER","PAV","H","LCU","RATE","RESP","IOSQ","CMR","DB","INT","PEND","DISC","CONN","%CONN","%UTIL","%RESV","#ALLOC","%ALLOC"
"19/04/25","17:39:00","A1","","26BA","33909",10017,"TCAZ01",,"","00A2",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","26BB","33909",10017,"TCAZ02",,"","00A2",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,6.0,100.0
"19/04/25","17:39:00","A1","","26CA","33909",10017,"JDOC02",,"","00A2",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","26CB","33909",10017,"JDOC03",,"","00A2",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","26CC","33909",10017,"JDOC04",,"","00A2",0.103,.518,.000,.000,.000,.000,.103,.000,.415,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","26CD","33909",10017,"JDOC05",,"","00A2",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","","",,"LCU",,"","00A2",0.103,.518,.000,.000,.000,.000,.103,.000,.415,0.00,0.00,0.0,7.0,100.0
"19/04/25","17:39:00","A1","","8D80","33909",10017,"TCAZ03",1.0,"H","016F",0.210,.408,.000,.000,.000,.002,.112,.000,.297,0.01,0.01,0.0,8.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D81","33909",10017,"YDOC01",1.0,"H","016F",0.125,1.04,.000,.002,.000,.000,.116,.000,.922,0.01,0.01,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D82","33909",10017,"YDOC02",1.0,"H","016F",0.017,.243,.000,.013,.000,.000,.141,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D83","33909",10017,"YDOC03",1.0,"H","016F",0.017,.269,.000,.013,.000,.000,.141,.000,.128,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D84","33909",10017,"YDOC04",1.0,"H","016F",0.017,.218,.000,.000,.000,.000,.115,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D85","33909",10017,"YDOC05",1.0,"H","016F",0.017,.218,.000,.000,.000,.000,.115,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D86","33909",10017,"YDOC06",1.0,"H","016F",0.017,.256,.000,.013,.000,.000,.128,.000,.128,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D87","33909",10017,"YDOC07",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D88","33909",10017,"YDOC08",1.0,"H","016F",0.015,.228,.000,.000,.000,.000,.114,.000,.114,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D89","33909",10017,"YDOC09",1.0,"H","016F",0.017,.218,.000,.000,.000,.000,.128,.000,.090,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8A","33909",10017,"YDOC10",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8B","33909",10017,"YDOC11",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.115,.000,.115,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8C","33909",10017,"YDOC12",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8D","33909",10017,"YDOC13",1.0,"H","016F",0.017,.218,.000,.000,.000,.000,.115,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8E","33909",10017,"YDOC14",1.0,"H","016F",0.017,.243,.000,.000,.000,.013,.141,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DOC2SG","8D8F","33909",10017,"YDOC15",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","SLOG2SG","8D90","33909",10017,"YSLG01",1.0,"H","016F",0.017,.218,.000,.000,.000,.000,.115,.000,.102,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","SLOG2SG","8D91","33909",10017,"YSLG02",1.0,"H","016F",0.017,.243,.000,.013,.000,.000,.128,.000,.115,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","SLOG2SG","8D92","33909",10017,"YSLG03",1.0,"H","016F",0.017,.230,.000,.000,.000,.000,.115,.000,.115,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DMPEXSG","8D93","33909",10017,"YDMP01",1.0,"H","016F",0.017,.230,.000,.013,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DMPEXSG","8D94","33909",10017,"YDMP02",1.0,"H","016F",0.017,.230,.000,.013,.000,.000,.128,.000,.102,0.00,0.00,0.0,0.0,100.0
