"date","time","volser","usage","sys","rate","resp","iosq","pend","disc","conn","lcu"
2019/04/25,17:39:00,"TCAZ01","","*ALL",0.103,0.522,0.000,0.105,0.000,0.417,"00A2"
2019/04/25,17:39:00,"TCAZ01","","A1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ01","","A2",0.103,0.522,0.000,0.105,0.000,0.417,"00A2"
2019/04/25,17:39:00,"TCAZ01","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ01","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ01","","A*",0.103,0.522,0.000,0.105,0.000,0.417,"00A2"
2019/04/25,17:39:00,"TCAZ01","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ02","","*ALL",0.113,0.518,0.000,0.105,0.000,0.412,"00A2"
2019/04/25,17:39:00,"TCAZ02","","A1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ02","","A2",0.010,0.235,0.000,0.107,0.000,0.128,"00A2"
2019/04/25,17:39:00,"TCAZ02","","F1",0.103,0.545,0.000,0.105,0.000,0.440,"00A2"
2019/04/25,17:39:00,"TCAZ02","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ02","","A*",0.010,0.235,0.000,0.107,0.000,0.128,"00A2"
2019/04/25,17:39:00,"TCAZ02","","F*",0.103,0.545,0.000,0.105,0.000,0.440,"00A2"
2019/04/25,17:39:00,"JDOC01","","*ALL",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC01","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC01","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC01","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC02","","*ALL",0.103,0.531,0.000,0.105,0.000,0.425,"00A2"
2019/04/25,17:39:00,"JDOC02","","A1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC02","","A2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC02","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC02","","F2",0.103,0.531,0.000,0.105,0.000,0.425,"00A2"
2019/04/25,17:39:00,"JDOC02","","A*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC02","","F*",0.103,0.531,0.000,0.105,0.000,0.425,"00A2"
2019/04/25,17:39:00,"JDOC03","","*ALL",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","A1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","A2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","A*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC03","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC04","","*ALL",0.103,0.518,0.000,0.103,0.000,0.415,"00A2"
2019/04/25,17:39:00,"JDOC04","","A1",0.103,0.518,0.000,0.103,0.000,0.415,"00A2"
2019/04/25,17:39:00,"JDOC04","","A2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC04","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC04","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC04","","A*",0.103,0.518,0.000,0.103,0.000,0.415,"00A2"
2019/04/25,17:39:00,"JDOC04","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","*ALL",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","A1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","A2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","A*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"JDOC05","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"00A2"
2019/04/25,17:39:00,"TCAZ03","","*ALL",8.915,0.299,0.000,0.144,0.000,0.155,"016F"
2019/04/25,17:39:00,"TCAZ03","","A1",0.210,0.408,0.000,0.112,0.000,0.297,"016F"
