"DATE","TIME","LPAR","WGT","MSUDEF","MSUACT","LPNUM","LPTYP","DISPE","DISPT","LPUTE","LPUTT","LPMGT","PPUTE","PPUTT"
19/04/25,17:39,"CEC1TZ1","DED",0,364,3,"CP",1799.499,1799.799,0.9997,0.9999,0.0000,0.0750,0.0750
19/04/25,17:39,"CEC1LP1","10",0,4,2,"CP",17.590,18.704,0.0147,0.0156,0.0000,0.0007,0.0008
19/04/25,17:39,"CEC1LP2","10",0,1,2,"CP",5.223,6.123,0.0044,0.0051,0.0000,0.0002,0.0003
19/04/25,17:39,"CEC1LP3","10",0,2,2,"CP",7.128,8.055,0.0059,0.0067,0.0000,0.0003,0.0003
19/04/25,17:39,"CEC1LP4","10",0,1,2,"CP",5.499,6.355,0.0046,0.0053,0.0000,0.0002,0.0003
19/04/25,17:39,"CEC1LP5","DED",0,243,2,"CP",1199.766,1199.968,0.9998,1.0000,0.0000,0.0500,0.0500
19/04/25,17:39,"CEC1TZ2","DED",0,364,3,"CP",1799.453,1799.729,0.9997,0.9999,0.0000,0.0750,0.0750
19/04/25,17:39,"CEC1TZ3","10",0,3,2,"CP",12.650,13.571,0.0105,0.0113,0.0000,0.0005,0.0006
19/04/25,17:39,"CEC1TZ4","10",0,2,2,"CP",8.493,9.476,0.0071,0.0079,0.0000,0.0004,0.0004
19/04/25,17:39,"CEC1TZ5","10",0,1,2,"CP",5.976,6.898,0.0050,0.0057,0.0000,0.0002,0.0003
19/04/25,17:39,"CEC1TZ6","10",0,1,2,"CP",5.609,6.533,0.0047,0.0054,0.0000,0.0002,0.0003
19/04/25,17:39,"CEC1CFB","10",0,1,1,"CP",3.856,4.022,0.0064,0.0067,0.0000,0.0002,0.0002
19/04/25,17:39,"CEC1CFJ","DED",0,121,1,"CP",599.985,599.985,1.0000,1.0000,0.0000,0.0250,0.0250
19/04/25,17:39,"CEC1CFK","DED",0,121,1,"CP",599.887,599.887,0.9998,0.9998,0.0000,0.0250,0.0250
19/04/25,17:39,"CEC1CF5","10",0,0,1,"CP",0.236,0.247,0.0004,0.0004,0.0000,0.0000,0.0000
19/04/25,17:39,"CEC1CF7","DED",0,121,1,"CP",599.889,599.889,0.9998,0.9998,0.0000,0.0250,0.0250
19/04/25,17:39,"CEC1CF8","DED",0,121,1,"CP",599.889,599.889,0.9998,0.9998,0.0000,0.0250,0.0250
19/04/25,17:39,"CEC1MZA","10",0,2,3,"CP",9.628,10.735,0.0053,0.0060,0.0000,0.0004,0.0004
19/04/25,17:39,"CEC1MZ1","10",0,3,2,"CP",13.314,14.425,0.0111,0.0120,0.0000,0.0006,0.0006
19/04/25,17:39,"CEC1MZ2","10",0,3,2,"CP",14.556,15.725,0.0121,0.0131,0.0000,0.0006,0.0007
19/04/25,17:39,"CEC1MZ3","10",0,3,2,"CP",11.766,12.843,0.0098,0.0107,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1MZ4","10",0,2,3,"CP",11.117,12.146,0.0062,0.0067,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1MZ5","10",0,3,2,"CP",11.584,12.534,0.0097,0.0104,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1MZ6","10",0,3,2,"CP",14.106,15.240,0.0118,0.0127,0.0000,0.0006,0.0006
19/04/25,17:39,"CEC1MZ7","10",0,3,2,"CP",11.431,12.427,0.0095,0.0104,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1MZ8","10",0,3,2,"CP",11.562,12.594,0.0096,0.0105,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1MZ9","10",0,3,2,"CP",12.216,13.263,0.0102,0.0111,0.0000,0.0005,0.0006
19/04/25,17:39,"CEC1TZ1","DED",,,3,"IIP",1799.955,1799.955,1.0000,1.0000,0.0000,0.1667,0.1667
19/04/25,17:39,"CEC1LP1","10",,,2,"IIP",4.678,4.826,0.0039,0.0040,0.0000,0.0004,0.0004
19/04/25,17:39,"CEC1LP2","10",,,2,"IIP",0.221,0.230,0.0002,0.0002,0.0000,0.0000,0.0000
19/04/25,17:39,"CEC1LP3","10",,,1,"IIP",4.865,4.903,0.0081,0.0082,0.0000,0.0005,0.0005
19/04/25,17:39,"CEC1LP4","10",,,1,"IIP",0.116,0.125,0.0002,0.0002,0.0000,0.0000,0.0000
19/04/25,17:39,"CEC1LP5","DED",,,3,"IIP",1799.663,1799.664,0.9998,0.9998,0.0000,0.1666,0.1666
19/04/25,17:39,"CEC1TZ2","DED",,,3,"IIP",1799.858,1799.859,0.9999,0.9999,0.0000,0.1667,0.1667
19/04/25,17:39,"CEC1TZ5","10",,,1,"IIP",0.118,0.126,0.0002,0.0002,0.0000,0.0000,0.0000
19/04/25,17:39,"CEC1MZ1","10",,,2,"IIP",1.335,1.354,0.0011,0.0011,0.0000,0.0001,0.0001
19/04/25,17:39,"CEC1MZ2","10",,,2,"IIP",1.167,1.184,0.0010,0.0010,0.0000,0.0001,0.0001
19/04/25,17:39,"CEC1MZ3","10",,,2,"IIP",0.305,0.315,0.0003,0.0003,0.0000,0.0000,0.0000
19/04/25,17:39,"CEC1MZ4","10",,,2,"IIP",0.243,0.249,0.0002,0.0002,0.0000,0.0000,0.0000
19/04/25,17:39,"SHARE-POOL","200",0,44,28,"CP",193.540,211.916,0.1590,0.1737,0,0.0081,0.0089
19/04/25,17:39,"SHARE-POOL","0",0,0,4,"IFL",0,0,0,0,0,0,0
19/04/25,17:39,"SHARE-POOL","90",0,0,9,"IIP",13.048,13.312,0.0152,0.0154,0,0.0011,0.0011
