DATE,TIME,TYPE,CLASS,TRAN_MPL,TRAN_NUM,TRAN_TPS,TRAN_ACT,TRAN_EXE,DASD_SSCHRT,DASD_RESP,CP,AAPCP,IIPCP,AAP,IIP,STOR_AVG,STOR_TOT,STOR_SHR
2019/04/25,17:39:00,SERVICE,BAT_LOW,8.07,2,0.00,862.788,861.984,0.0,0.2,3.45%,0.00%,0.00%,N/A%,0.00%,1569.91,12665.83,0.00
2019/04/25,17:39:00,WORKLOAD,BAT_WKL,8.07,2,0.00,862.788,861.984,0.0,0.2,3.45%,0.00%,0.00%,N/A%,0.00%,1569.91,12665.83,0.00
2019/04/25,17:39:00,SERVICE,DB_HI,4.00,0,0.00,0.000,0.000,84.2,1.5,4.07%,0.00%,0.00%,N/A%,3.71%,341083.0,1364297,0.00
2019/04/25,17:39:00,WORKLOAD,DB_WKL,4.00,0,0.00,0.000,0.000,84.2,1.5,4.07%,0.00%,0.00%,N/A%,3.71%,341083.0,1364297,0.00
2019/04/25,17:39:00,SERVICE,ENC_LOW,0.05,2399,4.00,0.013,0.011,1.3,0.4,0.65%,0.00%,0.01%,N/A%,0.66%,0.00,0.00,0.00
2019/04/25,17:39:00,SERVICE,ENC_MED,5.35,84017,140.03,0.057,0.038,1.3,0.4,34.01%,0.00%,0.36%,N/A%,32.16%,0.00,0.00,0.00
2019/04/25,17:39:00,WORKLOAD,ENC_WKL,5.39,86416,144.03,0.055,0.037,2.6,0.4,34.66%,0.00%,0.37%,N/A%,32.82%,0.00,0.00,0.00
2019/04/25,17:39:00,SERVICE,ONL_HI,9.00,0,0.00,0.000,0.000,465.9,0.4,60.11%,0.00%,0.18%,N/A%,40.46%,79153.67,712366.3,76584.34
2019/04/25,17:39:00,SERVICE,ONL_LOW,7.00,0,0.00,0.000,0.000,0.6,0.4,28.59%,0.00%,1.09%,N/A%,51.05%,173161.4,1212100,76483.34
2019/04/25,17:39:00,SERVICE,ONL_MED,6.00,0,0.00,0.000,0.000,396.1,0.4,55.13%,0.00%,0.50%,N/A%,51.64%,184564.3,1107357,76584.34
2019/04/25,17:39:00,SERVICE,ONL_SPC,8.00,0,0.00,0.000,0.000,3057,0.4,14.36%,0.00%,0.00%,N/A%,0.10%,34499.23,275987.0,112650.6
2019/04/25,17:39:00,WORKLOAD,ONL_WKL,30.00,0,0.00,0.000,0.000,3919,0.4,158.19%,0.00%,1.78%,N/A%,143.26%,110263.0,3307810,342302.6
2019/04/25,17:39:00,SERVICE,STC_MED,5.00,0,0.00,0.000,0.000,0.0,0.0,0.01%,0.00%,0.00%,N/A%,0.00%,3420.42,17101.64,0.00
2019/04/25,17:39:00,WORKLOAD,STC_WKL,5.00,0,0.00,0.000,0.000,0.0,0.0,0.01%,0.00%,0.00%,N/A%,0.00%,3420.42,17101.64,0.00
2019/04/25,17:39:00,SERVICE,SYSOTHER,12.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,0.00,0.00,0.00
2019/04/25,17:39:00,SERVICE,SYSSTC,143.79,0,0.00,0.000,0.000,230.8,0.7,31.00%,0.00%,0.00%,N/A%,1.81%,10208.68,1467875,8637.79
2019/04/25,17:39:00,SERVICE,SYSTEM,92.79,0,0.00,0.000,0.000,1320,0.5,16.55%,0.00%,0.00%,N/A%,0.00%,5487.78,509230.8,24.00
2019/04/25,17:39:00,WORKLOAD,SYSTEM,248.58,0,0.00,0.000,0.000,1551,0.5,47.55%,0.00%,0.00%,N/A%,1.81%,8357.00,1977105,8661.79
2019/04/25,17:39:00,SERVICE,TSO_LOW,0.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,0.00,0.00,0.00
2019/04/25,17:39:00,WORKLOAD,TSO_WKL,0.20,1,0.00,313.837,313.837,87.1,0.6,0.77%,0.00%,0.00%,N/A%,0.00%,1321.12,267.31,0.19
2019/04/25,17:39:00,POLICY,WLMPOL1,301.24,86419,144.03,0.079,0.061,5644,0.4,248.70%,0.00%,2.15%,N/A%,181.61%,23530.92,6679247,350964.6
2019/04/25,17:39:00,REPORT,AND100,2.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,6548.03,13095.72,0.00
2019/04/25,17:39:00,REPORT,ANM100,1.00,0,0.00,0.000,0.000,0.0,0.0,0.03%,0.00%,0.00%,N/A%,0.05%,63604.15,63602.35,0.00
2019/04/25,17:39:00,REPORT,ANM100S,1.00,0,0.00,0.000,0.000,0.0,0.0,0.03%,0.00%,0.00%,N/A%,0.04%,79525.08,79522.83,0.00
2019/04/25,17:39:00,REPORT,ANN110,1.00,0,0.00,0.000,0.000,0.0,0.0,0.01%,0.00%,0.00%,N/A%,0.02%,48881.18,48879.80,0.00
2019/04/25,17:39:00,REPORT,ANN120,1.00,0,0.00,0.000,0.000,0.0,0.0,0.02%,0.00%,0.00%,N/A%,0.04%,48732.93,48731.79,0.00
2019/04/25,17:39:00,REPORT,ANS111,1.00,0,0.00,0.000,0.000,0.0,0.0,0.90%,0.00%,0.00%,N/A%,0.11%,65543.52,65541.66,0.00
2019/04/25,17:39:00,REPORT,ANS111S,2.00,0,0.00,0.000,0.000,78.1,0.3,0.17%,0.00%,0.03%,N/A%,1.38%,210742.0,421472.1,0.00
2019/04/25,17:39:00,REPORT,ANS112,1.00,0,0.00,0.000,0.000,0.0,0.0,0.49%,0.00%,0.00%,N/A%,0.13%,69302.84,69300.88,0.00
2019/04/25,17:39:00,REPORT,ANS112S,2.00,0,0.00,0.000,0.000,0.3,0.4,0.37%,0.00%,0.02%,N/A%,0.28%,235406.3,470799.2,0.00
2019/04/25,17:39:00,REPORT,ANS121,1.00,0,0.00,0.000,0.000,0.0,0.0,1.35%,0.00%,0.00%,N/A%,0.13%,67710.68,67709.10,0.00
2019/04/25,17:39:00,REPORT,ANS121S,2.00,0,0.00,0.000,0.000,116.1,0.3,0.24%,0.00%,0.04%,N/A%,2.18%,216565.5,433120.9,0.00
2019/04/25,17:39:00,REPORT,ANS122,1.00,0,0.00,0.000,0.000,0.0,0.0,0.58%,0.00%,0.00%,N/A%,0.12%,71421.22,71419.56,0.00
2019/04/25,17:39:00,REPORT,ANS122S,2.00,0,0.00,0.000,0.000,0.3,0.6,0.38%,0.00%,0.09%,N/A%,0.70%,225215.1,450419.6,0.00
2019/04/25,17:39:00,REPORT,DBH1DBM1,1.00,0,0.00,0.000,0.000,43.4,1.5,1.98%,0.00%,0.00%,N/A%,1.86%,673849.8,673830.7,0.00
2019/04/25,17:39:00,REPORT,DBH1DIST,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,5257.02,5256.87,0.00
2019/04/25,17:39:00,REPORT,DBH1IRLM,1.00,0,0.00,0.000,0.000,0.0,0.0,6.64%,0.00%,0.00%,N/A%,0.00%,21622.92,21622.31,0.00
2019/04/25,17:39:00,REPORT,DBH1MSTR,1.00,0,0.00,0.000,0.000,100.3,0.8,5.38%,0.00%,0.00%,N/A%,0.89%,4476.09,4475.97,0.04
2019/04/25,17:39:00,REPORT,DBH2DBM1,1.00,0,0.00,0.000,0.000,40.9,1.5,2.09%,0.00%,0.00%,N/A%,1.86%,679963.2,679947.3,0.00
2019/04/25,17:39:00,REPORT,DBH2DIST,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,5262.02,5261.90,0.00
2019/04/25,17:39:00,REPORT,DBH2IRLM,1.00,0,0.00,0.000,0.000,0.0,0.0,6.95%,0.00%,0.00%,N/A%,0.00%,21709.01,21708.50,0.00
2019/04/25,17:39:00,REPORT,DBH2MSTR,1.00,0,0.00,0.000,0.000,101.5,0.8,6.72%,0.00%,0.00%,N/A%,0.88%,4576.58,4576.48,1.00
2019/04/25,17:39:00,REPORT,DUMPSRV,4.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,692.25,2768.94,0.00
2019/04/25,17:39:00,REPORT,JES2,4.00,0,0.00,0.000,0.000,1.4,1.0,0.06%,0.00%,0.00%,N/A%,0.00%,8742.93,34970.83,8255.82
2019/04/25,17:39:00,REPORT,MBEG101A,1.00,0,0.00,0.000,0.000,245.8,0.4,28.23%,0.00%,0.08%,N/A%,20.36%,138181.2,138177.3,38292.07
2019/04/25,17:39:00,REPORT,MBEG101B,1.00,0,0.00,0.000,0.000,220.1,0.4,28.50%,0.00%,0.10%,N/A%,19.49%,139007.1,139003.8,38292.27
2019/04/25,17:39:00,REPORT,MBEG201A,1.00,0,0.00,0.000,0.000,110.3,0.4,28.88%,0.00%,0.22%,N/A%,25.85%,126635.6,126632.0,38292.07
2019/04/25,17:39:00,REPORT,MBEG201B,1.00,0,0.00,0.000,0.000,91.6,0.4,25.84%,0.00%,0.20%,N/A%,22.23%,126134.9,126132.0,38292.27
2019/04/25,17:39:00,REPORT,MBEG701A,1.00,0,0.00,0.000,0.000,0.0,0.0,13.00%,0.00%,0.44%,N/A%,23.96%,105776.6,105773.6,38191.07
2019/04/25,17:39:00,REPORT,MBEG701B,1.00,0,0.00,0.000,0.000,0.0,0.0,14.80%,0.00%,0.54%,N/A%,26.07%,105587.0,105584.5,38292.27
2019/04/25,17:39:00,REPORT,MBMQH1,1.00,0,0.00,0.000,0.000,0.0,0.3,0.10%,0.00%,0.00%,N/A%,0.06%,73384.11,73382.03,56295.63
2019/04/25,17:39:00,REPORT,MBMQH2,1.00,0,0.00,0.000,0.000,0.0,0.2,0.11%,0.00%,0.00%,N/A%,0.04%,73408.26,73406.54,56296.92
2019/04/25,17:39:00,REPORT,MQHRCHIN,1.00,0,0.00,0.000,0.000,0.0,0.0,0.07%,0.00%,0.00%,N/A%,0.00%,5653.02,5652.86,10.00
