組織コード,LOB,賦課部門コード,備考,経企スタッフ使用欄
AZ000,Cloud,製品BUを確認,,
AZ00A,Cloud,製品BUを確認,,
AZ00B,Cloud,製品BUを確認,,
AZ00C,Cloud,製品BUを確認,,
AZ100,Cloud,製品BUを確認,,
AZ10A,Cloud,製品BUを確認,,
AZ10B,Cloud,製品BUを確認,,
AZ110,Cloud,製品BUを確認,,
AZ120,Cloud,製品BUを確認,,
AZ12A,Cloud,製品BUを確認,,
AZ130,Cloud,製品BUを確認,,
AZ13A,Cloud,製品BUを確認,,
AZ200,Cloud,製品BUを確認,,
AZ20A,Cloud,製品BUを確認,,
AZ20C,Cloud,製品BUを確認,,
AZ210,Cloud,製品BUを確認,,
AZ220,Cloud,製品BUを確認,,
AZ230,Cloud,製品BUを確認,,
AZ300,Cloud,製品BUを確認,,
AZ30A,Cloud,製品BUを確認,,
AZ310,Cloud,製品BUを確認,,
AZ31A,Cloud,製品BUを確認,,
AZ31C,Cloud,製品BUを確認,,
AZ320,Cloud,製品BUを確認,,
AZ32A,Cloud,製品BUを確認,,
AZ32B,Cloud,製品BUを確認,,
AZ400,Cloud,製品BUを確認,,
AZ500,Cloud,製品BUを確認,,
AZ600,Cloud,製品BUを確認,,
AZ60A,Cloud,製品BUを確認,,
AZ710,Cloud,製品BUを確認,,
AZ720,Cloud,製品BUを確認,,
AZ730,Cloud,製品BUを確認,,
AZ750,Cloud,製品BUを確認,,
AZ800,Cloud,製品BUを確認,,
AZ820,Cloud,製品BUを確認,,
AZ830,Cloud,製品BUを確認,,
AZ840,Cloud,製品BUを確認,,
AZ900,Cloud,製品BUを確認,,
AZC10,Cloud,製品BUを確認,,
AZC20,Cloud,製品BUを確認,,
AZC30,Cloud,製品BUを確認,,
X3500,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X3510,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X352F,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
